Date,Property Type,Average Sales Price (AED/Sqf),Location,M-o-m Change (%),Q-o-q Change (%),Y-o-y Change (%)
01-10-2024,Apartment,1144.2,Abu Dhabi,-0.0035,0.0114,0.0859
01-10-2024,Villa,1043.3,Abu Dhabi,0.0105,0.0589,0.129
01-09-2024,Apartment,1148.2,Abu Dhabi,0.0088,0.0258,0.094
01-09-2024,Villa,1032.4,Abu Dhabi,0.0188,0.0712,0.1292
01-08-2024,Apartment,1138.2,Abu Dhabi,0.0061,0.0324,0.0858
01-08-2024,Villa,1013.4,Abu Dhabi,0.0286,0.0692,0.1167
01-07-2024,Apartment,1131.3,Abu Dhabi,0.0107,0.0361,0.0841
01-07-2024,Villa,985.2,Abu Dhabi,0.0223,0.0566,0.0994
01-06-2024,Apartment,1119.3,Abu Dhabi,0.0153,0.0259,0.0813
01-06-2024,Villa,963.7,Abu Dhabi,0.0168,0.0254,0.1069
01-05-2024,Apartment,1102.5,Abu Dhabi,0.0097,0.0141,0.0741
01-05-2024,Villa,947.8,Abu Dhabi,0.0164,0.0274,0.1107
01-04-2024,Apartment,1091.9,Abu Dhabi,0.0007,0.0058,0.0634
01-04-2024,Villa,932.5,Abu Dhabi,-0.0079,0.0322,0.1092
01-03-2024,Apartment,1091.1,Abu Dhabi,0.0036,0.0237,0.0642
01-03-2024,Villa,939.9,Abu Dhabi,0.0188,0.0281,0.1298
01-02-2024,Apartment,1087.2,Abu Dhabi,0.0015,0.028,0.0595
01-02-2024,Villa,922.5,Abu Dhabi,0.0212,-0.0092,0.1153
01-01-2024,Apartment,1085.6,Abu Dhabi,0.0185,0.0303,0.0627
01-01-2024,Villa,903.4,Abu Dhabi,-0.0118,-0.0223,0.0912
01-12-2023,Apartment,1065.8,Abu Dhabi,0.0078,0.0155,0.0444
01-12-2023,Villa,914.2,Abu Dhabi,-0.0182,0.0,0.0747
01-11-2023,Apartment,1057.6,Abu Dhabi,0.0037,0.009,0.0282
01-11-2023,Villa,931.2,Abu Dhabi,0.0077,0.0261,0.1005
01-10-2023,Apartment,1053.7,Abu Dhabi,0.004,0.0098,0.0196
01-10-2023,Villa,924.1,Abu Dhabi,0.0107,0.0311,0.1016
01-09-2023,Apartment,1049.6,Abu Dhabi,0.0013,0.0139,0.0145
01-09-2023,Villa,914.2,Abu Dhabi,0.0075,0.05,0.0919
