Date,Property Type,Average Rent Price (AED/Sqf),Location,M-o-m Change (%),Q-o-q Change (%),Y-o-y Change (%)
01-10-2024,Apartment,79.9,Abu Dhabi,0.0196,0.0512,0.1823
01-10-2024,Villa,50.3,Abu Dhabi,-0.002,-0.0063,0.0805
01-09-2024,Apartment,78.3,Abu Dhabi,0.0111,0.0575,0.1766
01-09-2024,Villa,50.4,Abu Dhabi,-0.0013,0.0018,0.0798
01-08-2024,Apartment,77.5,Abu Dhabi,0.0197,0.0646,0.181
01-08-2024,Villa,50.5,Abu Dhabi,-0.003,0.0167,0.0994
01-07-2024,Apartment,76.0,Abu Dhabi,0.0257,0.0512,0.1576
01-07-2024,Villa,50.6,Abu Dhabi,0.0061,0.0467,0.1028
01-06-2024,Apartment,74.1,Abu Dhabi,0.018,0.0369,0.122
01-06-2024,Villa,50.3,Abu Dhabi,0.0135,0.04,0.0948
01-05-2024,Apartment,72.8,Abu Dhabi,0.0068,0.0297,0.0973
01-05-2024,Villa,49.7,Abu Dhabi,0.0264,0.0454,0.0763
01-04-2024,Apartment,72.3,Abu Dhabi,0.0118,0.0233,0.0924
01-04-2024,Villa,48.4,Abu Dhabi,-0.0003,0.0209,0.0484
01-03-2024,Apartment,71.4,Abu Dhabi,0.0108,0.0368,0.0855
01-03-2024,Villa,48.4,Abu Dhabi,0.0187,0.0428,0.0471
01-02-2024,Apartment,70.7,Abu Dhabi,0.0006,0.0356,0.0794
01-02-2024,Villa,47.5,Abu Dhabi,0.0024,0.027,0.0323
01-01-2024,Apartment,70.6,Abu Dhabi,0.0251,0.0456,0.0746
01-01-2024,Villa,47.4,Abu Dhabi,0.0211,0.0175,0.0321
01-12-2023,Apartment,68.9,Abu Dhabi,0.0097,0.035,0.0421
01-12-2023,Villa,46.4,Abu Dhabi,0.0034,-0.0062,0.0237
01-11-2023,Apartment,68.2,Abu Dhabi,0.0102,0.0404,0.0264
01-11-2023,Villa,46.2,Abu Dhabi,-0.0069,0.0072,0.0219
01-10-2023,Apartment,67.6,Abu Dhabi,0.0147,0.0292,0.0164
01-10-2023,Villa,46.6,Abu Dhabi,-0.0027,0.0143,0.0344
01-09-2023,Apartment,66.6,Abu Dhabi,0.0149,0.0084,0.0066
01-09-2023,Villa,46.7,Abu Dhabi,0.0169,0.0158,0.0464
01-08-2023,Apartment,65.6,Abu Dhabi,-0.0006,-0.0108,-0.0102
01-08-2023,Villa,45.9,Abu Dhabi,0.0001,-0.0047,0.0336
01-07-2023,Apartment,65.6,Abu Dhabi,-0.0058,-0.0081,-0.0036
01-07-2023,Villa,45.9,Abu Dhabi,-0.0012,-0.005,0.0417
01-06-2023,Apartment,66.0,Abu Dhabi,-0.0044,0.0032,-0.0039
01-06-2023,Villa,46.0,Abu Dhabi,-0.0036,-0.0053,0.0441
01-05-2023,Apartment,66.3,Abu Dhabi,0.0022,0.0129,-0.0079
01-05-2023,Villa,46.1,Abu Dhabi,-0.0002,0.0026,0.041
01-04-2023,Apartment,66.2,Abu Dhabi,0.0054,0.0067,-0.0114
01-04-2023,Villa,46.1,Abu Dhabi,-0.0015,0.0051,0.0365
